Source,Target,Association
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~code,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~type,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~message,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~petId,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~quantity,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~shipDate,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~complete,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~petId,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~quantity,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~shipDate,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~complete,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~firstName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~lastName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~email,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~password,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~phone,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~userStatus,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~firstName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~lastName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~email,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~password,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~phone,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~userStatus,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~firstName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~lastName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~email,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~password,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~phone,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~userStatus,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses)~200,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses)~400,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~code,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~type,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~message,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~petId,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~quantity,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~shipDate,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~complete,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~petId,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~quantity,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~shipDate,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~complete,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~firstName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~lastName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~email,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~password,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~phone,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~userStatus,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~firstName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~lastName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~email,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~password,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~phone,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~userStatus,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~firstName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~lastName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~email,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~password,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~phone,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~userStatus,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~400,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~404,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(responses)~400,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete~(responses)~400,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~code,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~type,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~message,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~petId,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~quantity,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~shipDate,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~complete,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~petId,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~quantity,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~shipDate,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~complete,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~firstName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~lastName,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~email,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~password,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~phone,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~userStatus,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~username,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~firstName,custom.openapi.ResponseToResponseField
